제목,저자,출판사,KDC
셰익스피어의 기억 ,호르헤 루이스 보르헤스 지음;황병하 옮김,민음사,873
칼잡이들의 이야기 ,호르헤 루이스 보르헤스 지음;황병하 옮김,민음사,873
알렙 ,호르헤 루이스 보르헤스 지음;황병하 옮김,민음사,873
픽션들 ,호르헤 루이스 보르헤스 지음;황병하 옮김,민음사,873
한강의 비밀을 찾아라! :하천을 둘러싼 생활 ,최재희 글;이수현 그림,휴먼어린이,980
어떤 집에 살까? :주거 환경과 인구 ,최재희 글;김민우 그림,휴먼어린이,980
문화적 기억과 초기 문명 ,"얀 아스만 지음;김구원 ,심재훈 옮김",푸른역사,909.2
"엄마 마흔, 시작하기 좋은 나이 ",장연이 지음,두드림미디어,818
입문자를 위한 맞춤형 AI 프로그램 만들기 ,다비드스튜디오 지음,길벗,004.73
제약바이오 처음공부 ,강수연 지음,이레미디어,327.856
"가족인 줄 알았는데, 사람이었어 ",지상 지음,문학수첩,813.8
비즈니스에 바로 통하는 캔바×디자인 ,박설연 지음,프리렉,005.565
함부로 칭찬하지 마라 ,김영훈 지음,21세기북스,598.1
(글로벌 역량 UP) 비즈니스 일본어 ,핫크리스탈 지음,PUB.365(삼육오),737.5
하늘과 바다 사이 돛을 올리고 ,김영애 지음,호밀밭,816.7
조연 여배우 ,등구운 지음;이기선 옮김,글항아리,823.6
노션 ,전시진 지음,제이펍,005.58
오아시스 모먼트 ,한유리 지음,너를위한,186.5
리얼 홋카이도 ,"이무늬,이근평 [공]지음",한빛라이프,981.3102
꼬리에 꼬리를 무는 수학 이야기 ,박구연 지음,Gbrain(지브레인),410
기대하는 결과물이 무엇인가 ,류랑도 지음,페가수스,325.211
코틀린 아카데미 :이펙티브 코틀린,"마르친 모스카와 지음;강진혁 ,김보경 [공]옮김",인사이트,005.133
그래도 되는 차별은 없다 :인권 최전선의 변론 ,공익인권법재단 공감 지음,창비,342.1
경제학 패러독스 ,최성락 지음,페이퍼로드,322
내 손 위의 코딩 ,고코더(이진현) 지음,원앤원북스,005.1
어른의 관계에는 마침표가 없다 ,김재식 지음,위즈덤하우스,818
살면서 꼭 한 번은 자유론 ,존 스튜어트 밀 저;최윤아 역,다른상상,164.42
중학교에서 시작하는 미래 준비 ,구교정 지음,한국학술정보,372.68
생각대로 살지 않으면 사는 대로 생각하게 된다 :제로편 ,은지성 지음,달먹는토끼,199.1
나의 특별한 형제 ,장한샘 지음,타래,818
아보카도 ,김혜영 지음,그늘,813.7
밀실 황금시대의 살인:눈의 저택과 여섯 개의 트릭 ,가모사키 단로 지음;김예진 옮김,리드비,833.6
(영화라는 만화경을 통해) 라캉을 읽다 ,손성우 저,시간의물레,185.5
죽음의 부정 ,어니스트 베커 지음;노승영 옮김,복복서가,126.5
설익은 낭만의 세 조각 ,"유대협,이채윤 ,김서연 [공]지음",일단,814.7
(만화로 보는) 1분 철학 관계수업 ,서정욱 지음,중앙북스,189.2
"아이, 따듯해! ",김들 글;정원재 그림,노란돼지,808.9
누가 먼저 목욕탕 ,배은영 지음;이수현 그림,제제의숲,813.8
바람이 좋아요 ,최내경 글;이윤희 그림,북뱅크,813.8
애거서 크리스티 전집 ,애거서 크리스티 지음;김지현 옮김,황금가지,843
애거서 크리스티 전집 ,애거서 크리스티 지음;김우열 옮김,황금가지,843
애거서 크리스티 전집 ,애거서 크리스티 지음;김양희 옮김,황금가지,843
애거서 크리스티 전집 ,애거서 크리스티 지음;원은주 옮김,황금가지,843
애거서 크리스티 전집 ,애거서 크리스티 지음;이수경 옮김,황금가지,843
애거서 크리스티 전집 ,애거서 크리스티 지음;서남희 옮김,황금가지,843
애거서 크리스티 전집 ,애거서 크리스티 지음;왕수민 옮김,황금가지,843
애거서 크리스티 전집 ,애거서 크리스티 지음;허형은 옮김,황금가지,843
애거서 크리스티 전집 ,애거서 크리스티 지음;김소연 옮김,황금가지,843
애거서 크리스티 전집 ,애거서 크리스티 지음;나중길 옮김,황금가지,843
애거서 크리스티 전집 ,애거서 크리스티 지음;원은주 옮김,황금가지,843
애거서 크리스티 전집 ,애거서 크리스티 지음;김윤정 옮김,황금가지,843
애거서 크리스티 전집 ,애거서 크리스티 지음;박산호 옮김,황금가지,843
애거서 크리스티 전집 ,애거서 크리스티 지음;이은선 옮김,황금가지,843
애거서 크리스티 전집 ,애거서 크리스티 지음;왕수민 옮김,황금가지,843
애거서 크리스티 전집 ,애거서 크리스티 지음;박슬라 옮김,황금가지,843
애거서 크리스티 전집 ,애거서 크리스티 지음;이수경 옮김,황금가지,843
애거서 크리스티 전집 ,애거서 크리스티 지음;원은주 옮김,황금가지,843
애거서 크리스티 전집 ,애거서 크리스티 지음;유혜경 옮김,황금가지,843
애거서 크리스티 전집 ,애거서 크리스티 지음;한은경 옮김,황금가지,843
나의 첫 세계사 타이완 공부 ,쉬 야오윈 글;쥬쯔 그림 ;신주리 옮김,너머학교,909
어쩌다 배구 ,양자현 지음,천개의바람,808.91
한 컷 쏙 경제사 ,윤상석 글;박정섭 그림,풀빛,320
여우의 전화 박스 ,도다 가즈요 글;다카스 가즈미 그림 ;햇살과나무꾼 옮김,크레용하우스,833.8
간니닌니 마법의 도서관 ,지유리 글;이경희 그림,아울북,813.8
이웃집 프로파일러 하이다의 사건 파일 ,선자은 글;이태영 그림,북이십일 을파소,813.8
목탄 :나무의 영혼을 담다 ,조이 콩스탕 지음,논장,808.9
나는 나대로 살 거야 ,박혜숙 글;안혜란 그림,내일을 여는 책,813.8
단단한 미래 ,천둥 글;결 그림,내일을여는책,813.8
장풍쌤의 과학 풍딱지 ,강주현 글;양선모 그림,메가스터디북스,408
장풍쌤의 과학 풍딱지 ,강주현 글;양선모 그림,메가스터디북스,408
달콤한 곰 님의 교실에서는 ,정유경 시;경혜원 그림,천개의바람,811.8
사회복지정책론 ,강종수 지음,신정,338.15
(쉽게 배우는) 사회복지행정론 ,"김나리,박재영 ,임종린 공저",어가,338.15
사회복지실천기술론 ,홍봉수 [외]저,공동체,338
사회복지정책론 ,이평화 [외]지음,동문사,338.15
사회복지조사론 ,홍봉수 [외]저,공동체,338
사회복지법제와 실천 ,홍봉수 [외]지음,공동체,368.13
사회복지 법제와 실천 ,서동명 지음,신정,368.13
정신건강사회복지론 ,유수현 [외]공저,신정,338.3
어린이와 더불어 사는 이야기집을 짓다 ,황선미 지음,문학과지성사,802.068
무진기행 :김승옥 소설집 ,김승옥 지음,민음사,808
무정 ,이광수 지음;정영훈 책임 편집,민음사,808
위대한 개츠비 ,F. 스콧 피츠제럴드 지음;김욱동 옮김,민음사,808
인간실격 ,다자이 오사무 지음;김춘미 옮김,민음사,808
상속자들 ,윌리엄 골딩 지음;안지현 옮김,민음사,808
모옌 중단편선 ,"모옌 지음;심규호 ,유소영 [공]옮김",민음사,808
달과 6펜스 ,서머싯 몸 지음;송무 옮김,민음사,808
"이반 데니소비치, 수용소의 하루 ",알렉산드르 솔제니친 지음;이영의 옮김,민음사,808
불멸 ,밀란 쿤데라 지음;김병욱 옮김,민음사,808
고도를 기다리며 ,사뮈엘 베케트 지음;오증자 옮김,민음사,808
포스트맨은 벨을 두 번 울린다 ,제임스 M. 케인 지음;이만식 옮김,민음사,808
조선 우체부 ,"이윤희,박안나 [공]글 ;한재홍 그림",써네스트,813.8
베토벤 ,고시미즈 리에코 글;욘 그림 ;이미향 번역,은하수미디어,990.8
반 고흐 ,야마모토 마사미 글;오즈노 유미 그림 ;김태길 번역,은하수미디어,990.8
어린이를 위한 디지털 교과서 ,로맹 갈리소 글;파스칼 르메트르 그림 ;이세진 옮김,라임,004
북극곰의 전설 ,이현영 글·그림,노란돼지,813.8
스쿨뉴스를 믿지 마세요 ,김찬경 글;김은준 그림,포에버영,813.8
못 말리는 녀석 둘 ,"맥 바넷,조리 존 [공]글 ;케빈 코넬 그림 ;김원섭 옮김",우리동네책공장,843.6
단추 마녀의 수상한 식당 ,정란희 글;한호진 그림,키다리,808.91
우정 챌린지 ,박상기 글;불곰 그림,소원나무,808.9
귀하신 몸 :근골격계 ,EBS 〈귀하신 몸〉 제작진 지음,알에이치코리아(RHK),513.7
나태한 완벽주의자 ,피터 홀린스 지음;공민희 옮김,넥서스BIZ,189
결국 문제를 뚫고 성장하는 사람 ,서현직 지음,김영사,325.211
계엄君 계엄群 ,김태훈 지음,더퍼플미디어,340.911
별다방 바리스타 ,송유정 지음,자음과모음,813.7
사춘기 자녀 부모 파이팅 ,이병준 지음,피톤치드,598.125
간호사 우즈키에게 보이는 것 ,아키야 린코 지음;김지연 옮김,문예춘추사,833.6
작은 것들에 입술을 달아주고 ,이근화 지음,창비,814.7
복제약 공화국 ,최원석 지음,공존,518
오직 소원만으로 ,김서영 지음,세창출판사(세창미디어),185.5
하얗지 않은데 왜 백인인가? ,박중현 지음,드루,342.3
최소한의 정치공부 ,추동훈 지음,매일경제신문사,340.1
11시 14분 ,박세미 지음,난다,810.81
(여행의 즐거움) 일본 명물 간식 백과 :과자·디저트 편 ,「여행과 철도」편집부 지음;김나랑 옮김,삼호북스,594.019
(매일 만들어 먹고 싶은) 핫플 카페의 인기 샌드위치 ,지선아 지음,리스컴,594.5544
급여관리 퇴직연금 연차휴가 4대 보험 ,손원준 지음,지식만들기,325.35
(300년 세계경제사의) 위대한 경제이론들 ,김민구 지음,사람in,320.01
"하늘을 봐, 바람이 불고 있어 ",고윤 지음;서진 엮음,스노우폭스북스,818
K-드라마 윤석열 ,심규진 지음,투나미스,340.911
IB 탐구 수업과 질문하는 문해력 ,독서생활연구소 지음,초록비책공방,375.2
된다! 하루 5분 아이패드 기록 생활 ,희나(이효선) 지음,이지스퍼블리싱,004.16
RAG 마스터 ,브라이스 유 [외]지음,프리렉,004.73
"축구, 받고 전진하는 절대 기술 ",가자마 야히로 지음;이지호 옮김,한즈미디어(한스미디어),695.4
(실전) ComfyUI ,우희철 지음,아이생각(디지털북스),004.76
위건 부두로 가는 길 ,조지 오웰 지음;이한중 옮김,한겨레출판,848
자기다움 리더십 ,"박정열,박선웅 [공]지음",흐름출판,325.24
리더십 학습노트 66계명 ,김영수 지음,창해,331.17
무엇을 드러내고 무엇을 감출까 ,하시시박 지음,마음산책,818
우리 아이가 진짜로 생각하고 있는 것 ,소아정신과의 사와 지음;김효진 옮김,한즈미디어(한스미디어),598.1
우리 아이는 미국 온라인 스쿨에서 공부합니다 ,김지영 지음,서사원,372.941
"세상을 보는 눈, 융합 지성사 ",송만호 [공]지음,바다출판사,909
부서지며 간다 ,소진기 지음,산지니,818
하멜표류기 ,헨드릭 하멜 지음;문지희 번역·해설,arte(아르테),911.056
제주 오름 여행 ,"문신희,문신기 [공]지음",디스커버리미디어,981.19902
평범한 날들을 특별하게 만드는 글쓰기 ,김미애 [외]지음,미다스북스,818
데이터지능 ,이긍희 지음,드레북스,331.544
버슨분홍 ,문예진 지음,비(도서출판b),811.7
압수수색 ,"김용진,한상진 ,봉지욱 [공]지음",뉴스타파,340.911
죽기 전엔 가보고 싶어 ,진민성 지음,미다스북스,816.7
완벽한 부모가 아니어도 충분해요 ,이명노 [외] 공저,프로방스,598.1
배드 엔딩이 어때서? ,전철희 지음,문학마을,809
향기의 언어 ,장윤정 지음,하움출판사,593.2
부모와 함께 소통으로 성장하는 학습 전략 ,"조효완,신동원,김혜남 [공] 지음",지상사,373.4
진공 붕괴 ,해도연 지음,한겨레출판,813.7
필로소포스의 책 읽기 ,고명섭 지음,교양인,104
(블루리본서베이) 전국의 맛집 ,블루리본 서베이 지음,BR미디어,594.019
리얼 후쿠오카 :유후인 벳푸 ,원경혜 지음,한빛라이프,981.3402
어느 겨울 다섯 번의 화요일 ,릴리 킹 지음;박경희 옮김,문학동네,843.6
알트코인 투자 ,"조동현,언디파인드랩스 [공]지음",옐로우바스켓,327.2
기상병(氣象病) 안내서 ,쿠데켄 츠카사 지음;정나래 옮김,성안당,513.95
이덕일의 킹메이커 ,이덕일 지음,삼인,350.214
다르게 걷기 ,박산호 지음,오늘산책,818
