순위,도서명,저자,출판사,출판년도,ISBN,KDC,KDC명,대출건수
1,홍학의 자리 :정해연 장편소설 ,지은이: 정해연,문학동네,2021,9788954681155,813.7,문학 > 한국문학 > 소설,136
2,나는 소망한다 내게 금지된 것을 :양귀자 장편소설 ,지은이: 양귀자,쓰다,2019,9788998441074,813.62,문학 > 한국문학 > 소설,129
3,소년이 온다 :한강 장편소설 ,지은이: 한강,창비,2014,9788936434120,813.62,문학 > 한국문학 > 소설,116
3,작별하지 않는다 :한강 장편소설 ,지은이: 한강,문학동네,2021,9788954682152,813.62,문학 > 한국문학 > 소설,116
5,지구 끝의 온실 :김초엽 장편소설 ,지은이: 김초엽,Giant Books(자이언트북스),2021,9791191824001,813.7,문학 > 한국문학 > 소설,112
6,모순 :양귀자 장편소설 ,지은이: 양귀자,쓰다,2013,9788998441012,813.62,문학 > 한국문학 > 소설,109
7,"물고기는 존재하지 않는다 :상실, 사랑 그리고 숨어 있는 삶의 질서에 관한 이야기 ",룰루 밀러 지음 ;정지인 옮김,곰출판,2021,9791189327156,490.99,자연과학 > 동물학 > 동물학,107
8,바깥은 여름 :김애란 소설 ,지은이: 김애란,문학동네,2017,9788954646079,813.7,문학 > 한국문학 > 소설,92
8,이끼숲 :천선란 연작소설 ,지은이: 천선란 ;일러스트: 점선면,자이언트북스,2023,9791191824216,813.7,문학 > 한국문학 > 소설,92
10,트로피컬 나이트 =조예은 소설집 /Tropical night ,지은이: 조예은,한겨레엔,2022,9791160408331,813.7,문학 > 한국문학 > 소설,88
11,종의 기원 =정유정 장편소설 /The origin of species ,지은이: 정유정,은행나무,2016,9788956609959,813.7,문학 > 한국문학 > 소설,86
12,지구에서 한아뿐 :정세랑 장편소설 ,지은이: 정세랑,난다,2019,9791188862290,813.7,문학 > 한국문학 > 소설,83
13,"시선으로부터, :정세랑 장편소설 ",지은이: 정세랑,문학동네,2020,9788954672214,813.7,문학 > 한국문학 > 소설,78
14,해가 지는 곳으로 :최진영 장편소설 ,지은이: 최진영,민음사,2017,9788937473166,813.7,문학 > 한국문학 > 소설,76
14,급류 :정대건 장편소설 ,지은이: 정대건,민음사,2022,9788937473401,813.7,문학 > 한국문학 > 소설,76
16,우리가 빛의 속도로 갈 수 없다면 :김초엽 소설 ,지은이: 김초엽,허블,2019,9791190090018,813.7,문학 > 한국문학 > 소설,75
17,아가미 :구병모 장편소설 ,지은이: 구병모,위즈덤하우스,2018,9791162203392,813.7,문학 > 한국문학 > 소설,73
18,채식주의자:한강 연작소설,한강,창비,2007,9788936433598,813.6,문학 > 한국문학 > 소설,72
18,"칵테일, 러브, 좀비 ",지은이: 조예은,안전가옥,2020,9791190174756,813.7,문학 > 한국문학 > 소설,72
20,귀신들의 땅 :천쓰홍 장편 소설 ,지은이: 천쓰홍 ;옮긴이: 김태성,민음사,2023,9788937454820,823.7,문학 > 중국문학 > 소설,70
20,파견자들 :김초엽 장편소설 ,지은이: 김초엽,퍼블리온,2023,9791191587524,813.7,문학 > 한국문학 > 소설,70
22,비눗방울 퐁 :이유리 소설집 ,지은이: 이유리,민음사,2024,9788937428234,813.7,문학 > 한국문학 > 소설,69
23,채식주의자 :한강 장편소설 ,지은이: 한강,창비,2022,9788936434595,813.62,문학 > 한국문학 > 소설,68
23,완전한 행복 :정유정 장편소설 ,지은이: 정유정,은행나무,2021,9791167370280,813.7,문학 > 한국문학 > 소설,68
25,구의 증명 ,최진영 지음,은행나무,2023,9791167372864,813.7,문학 > 한국문학 > 소설,67
26,입속 지느러미 :조예은 장편소설 ,지은이: 조예은,한겨레엔,2024,9791172130633,813.7,문학 > 한국문학 > 소설,66
26,천 개의 파랑 :천선란 장편소설 ,지은이: 천선란,허블,2020,9791190090261,813.7,문학 > 한국문학 > 소설,66
26,테디베어는 죽지 않아 :조예은 장편소설 ,지은이: 조예은,안전가옥,2023,9791193024225,813.7,문학 > 한국문학 > 소설,66
26,너무나 많은 여름이 ,김연수 지음,레제,2023,9791196722012,813.62,문학 > 한국문학 > 소설,66
30,모우어 :천선란 소설 ,지은이: 천선란,문학동네,2024,9791141601447,813.7,문학 > 한국문학 > 소설,63
30,랑과 나의 사막 :천선란 소설 ,지은이: 천선란,H(현대문학),2022,9791167901354,813.7,문학 > 한국문학 > 소설,63
30,돌이킬 수 있는 =문목하 장편소설 /Eversible ,지은이: 문목하,아작,2018,9791189015381,813.7,문학 > 한국문학 > 소설,63
33,밝은 밤 :최은영 장편소설 ,지은이: 최은영,문학동네,2021,9788954681179,813.7,문학 > 한국문학 > 소설,62
34,두 사람의 인터내셔널 :김기태 소설 ,지은이: 김기태,문학동네,2024,9788954697941,813.7,문학 > 한국문학 > 소설,59
34,용의자 X의 헌신 ,히가시노 게이고 지음 ;양억관 옮김,재인,2017,9788990982704,833.6,문학 > 일본문학 > 소설,59
34,내가 되는 꿈 :최진영 장편소설 ,지은이: 최진영,H(현대문학),2021,9791190885621,813.7,문학 > 한국문학 > 소설,59
37,대도시의 사랑법 :박상영 연작소설 ,지은이: 박상영,창비,2019,9788936437978,813.7,문학 > 한국문학 > 소설,57
37,오렌지와 빵칼 =청예 장편소설 /Orange and bread knife ,지은이: 청예,허블,2024,9791193078259,813.7,문학 > 한국문학 > 소설,57
39,혼모노 :성해나 소설집 ,지은이: 성해나,창비,2025,9788936439743,813.7,문학 > 한국문학 > 소설,55
39,사랑과 결함 :예소연 소설 ,지은이: 예소연,문학동네,2024,9791141601102,813.7,문학 > 한국문학 > 소설,55
41,대온실 수리 보고서 :김금희 장편소설 ,지은이: 김금희,창비,2024,9788936439651,813.7,문학 > 한국문학 > 소설,54
41,여름의 빌라 :백수린 소설 ,지은이: 백수린,문학동네,2020,9788954673105,813.7,문학 > 한국문학 > 소설,54
41,구의 증명 :최진영 소설 ,지은이: 최진영,은행나무,2015,9788956608556,813.7,문학 > 한국문학 > 소설,54
41,단 한 사람 :최진영 장편소설 ,지은이: 최진영,한겨레엔,2023,9791160405750,813.7,문학 > 한국문학 > 소설,54
45,H마트에서 울다 ,미셸 자우너 지음 ;정혜윤 옮김,문학동네,2022,9788954683371,848,문학 > 영미문학 > 르포르타주 및 기타,53
45,이처럼 사소한 것들 :클레어 키건 소설 ,지은이: 클레어 키건 ;옮긴이: 홍한별,다산북스,2023,9791130646381,843.6,문학 > 영미문학 > 소설,53
45,파과 :구병모 장편소설 ,지은이: 구병모,위즈덤하우스 미디어그룹,2018,9791162203620,813.7,문학 > 한국문학 > 소설,53
45,너의 유토피아 :정보라 소설집 ,지은이: 정보라,인플루엔셜,2025,9791168342569,813.7,문학 > 한국문학 > 소설,53
49,희랍어 시간 :한강 장편소설 ,지은이: 한강,문학동네,2011,9788954616515,813.62,문학 > 한국문학 > 소설,52
49,방금 떠나온 세계 :김초엽 소설집 ,지은이: 김초엽,한겨레엔,2021,9791160406504,813.7,문학 > 한국문학 > 소설,52
49,달러구트 꿈 백화점 :주문하신 꿈은 매진입니다 ,지은이: 이미예,팩토리나인,2020,9791165341909,813.7,문학 > 한국문학 > 소설,52
49,"파쇄 :일단 마음먹고 칼을 집었으면, 뜸 들이지 마 ",지은이: 구병모,위즈덤하우스,2023,9791168127012,813.7,문학 > 한국문학 > 소설,52
53,아주 희미한 빛으로도 :최은영 소설 ,지은이: 최은영,문학동네,2023,9788954695053,813.7,문학 > 한국문학 > 소설,50
54,눈부신 안부 :백수린 장편소설 ,지은이: 백수린,문학동네,2023,9788954699372,813.7,문학 > 한국문학 > 소설,49
55,이중 하나는 거짓말 :김애란 장편소설 ,지은이: 김애란,문학동네,2024,9791141601300,813.7,문학 > 한국문학 > 소설,48
55,어떤 물질의 사랑 :천선란 소설집 ,지은이: 천선란,아작,2020,9791165508340,813.7,문학 > 한국문학 > 소설,48
55,저주토끼 (리커버),정보라 (지은이),아작,2022,9791166686665,,,48
55,내가 한 말을 내가 오해하지 않기로 함 ,지은이: 문상훈,위너스북,2024,9791189352745,818,문학 > 한국문학 > 르포르타주 및 기타,48
59,광인 :이혁진 장편소설 ,지은이: 이혁진,민음사,2023,9788937454677,813.7,문학 > 한국문학 > 소설,47
60,"악마와 함께 춤을 :시기, 질투, 분노는 어떻게 삶의 거름이 되는가 ",크리스타 K. 토마슨 지음 ;한재호 옮김,흐름출판,2024,9788965966814,181.7,철학 > 심리학 > 각론,46
61,쇼코의 미소 :최은영 소설 ,지은이: 최은영,문학동네,2016,9788954641630,813.7,문학 > 한국문학 > 소설,45
61,내게 무해한 사람 :최은영 소설 ,지은이: 최은영,문학동네,2018,9788954651820,813.7,문학 > 한국문학 > 소설,45
63,비행운 :김애란 소설집 ,지은이: 김애란,문학과지성사,2012,9788932023151,813.7,문학 > 한국문학 > 소설,44
63,브람스를 좋아하세요 ,프랑수아즈 사강 [지음] ;김남주 옮김,민음사,2008,9788937461798,863,문학 > 프랑스문학 > 소설,44
63,자기 앞의 生 :에밀 아자르 장편소설 ,지은이: 에밀 아자르 ;옮긴이: 용경식,문학동네,2015,9788982816635,863,문학 > 프랑스문학 > 소설,44
66,일억 번째 여름 :청예 장편소설 ,지은이: 청예,창비,2025,9788936431556,813.7,문학 > 한국문학 > 소설,43
66,스노볼 드라이브 :조예은 장편소설 ,지은이: 조예은,민음사,2021,9788937473319,813.7,문학 > 한국문학 > 소설,43
66,연매장 :팡팡 장편소설 ,지은이: 팡팡 ;옮긴이: 문현선,문학동네,2025,9791141609962,823.7,문학 > 중국문학 > 소설,43
66,적산가옥의 유령 :조예은 소설 ,지은이: 조예은,H(현대문학),2024,9791167902580,813.7,문학 > 한국문학 > 소설,43
66,세이노의 가르침 :피보다 진하게 살아라 ,세이노 지음,데이원,2023,9791168473690,325.211,사회과학 > 경제학 > 경영관리,43
